Emotions,Path
sad,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 31/03-01-02-01-03-02-31.wav
angry,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 31/03-01-03-02-01-02-31.wav
sad,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 31/03-01-02-01-01-03-31.wav
sad,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 31/03-01-02-01-02-02-31.wav
sad,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 31/03-01-02-01-02-01-31.wav
sad,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 31/03-01-02-01-01-02-31.wav
sad,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 31/03-01-02-01-03-01-31.wav
happy,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 31/03-01-01-01-03-03-31.wav
happy,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 31/03-01-01-01-01-02-31.wav
happy,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 31/03-01-01-01-01-03-31.wav
happy,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 31/03-01-01-01-02-03-31.wav
happy,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 31/03-01-01-01-02-02-31.wav
angry,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 31/03-01-03-02-01-03-31.wav
angry,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 31/03-01-03-02-01-01-31.wav
angry,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 31/03-01-03-02-02-01-31.wav
happy,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 31/03-01-01-01-02-01-31.wav
happy,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 31/03-01-01-01-03-02-31.wav
sad,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 31/03-01-02-01-01-01-31.wav
surprise,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 31/03-01-04-02-03-01-31.wav
neutral,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 31/03-01-05-01-03-01-31.wav
angry,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 31/03-01-03-02-02-02-31.wav
neutral,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 31/03-01-05-01-01-03-31.wav
angry,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 31/03-01-03-02-03-03-31.wav
surprise,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 31/03-01-04-02-03-02-31.wav
angry,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 31/03-01-03-02-03-02-31.wav
angry,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 31/03-01-03-02-03-01-31.wav
neutral,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 31/03-01-05-01-03-03-31.wav
surprise,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 31/03-01-04-02-02-03-31.wav
neutral,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 31/03-01-05-01-01-02-31.wav
neutral,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 31/03-01-05-01-01-01-31.wav
surprise,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 31/03-01-04-02-01-03-31.wav
surprise,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 31/03-01-04-02-01-01-31.wav
surprise,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 31/03-01-04-02-02-02-31.wav
surprise,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 31/03-01-04-02-02-01-31.wav
surprise,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 31/03-01-04-02-01-02-31.wav
neutral,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 31/03-01-05-01-02-03-31.wav
surprise,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 31/03-01-04-02-03-03-31.wav
neutral,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 31/03-01-05-01-02-02-31.wav
neutral,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 31/03-01-05-01-02-01-31.wav
neutral,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 31/03-01-05-01-03-02-31.wav
angry,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 31/03-01-03-02-02-03-31.wav
sad,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 23/03-01-02-01-02-02-23.wav
surprise,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 23/03-01-04-02-02-03-23.wav
neutral,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 23/03-01-05-01-02-02-23.wav
angry,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 23/03-01-03-02-02-03-23.wav
happy,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 23/03-01-01-01-03-01-23.wav
sad,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 23/03-01-02-01-03-02-23.wav
sad,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 23/03-01-02-01-01-03-23.wav
angry,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 23/03-01-03-02-03-02-23.wav
angry,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 23/03-01-03-02-02-01-23.wav
neutral,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 23/03-01-05-01-01-01-23.wav
surprise,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 23/03-01-04-02-03-02-23.wav
happy,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 23/03-01-01-01-02-02-23.wav
sad,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 23/03-01-02-01-02-01-23.wav
surprise,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 23/03-01-04-02-03-01-23.wav
happy,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 23/03-01-01-01-02-01-23.wav
angry,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 23/03-01-03-02-03-03-23.wav
happy,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 23/03-01-01-01-02-03-23.wav
surprise,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 23/03-01-04-02-01-03-23.wav
surprise,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 23/03-01-04-02-02-02-23.wav
neutral,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 23/03-01-05-01-03-01-23.wav
neutral,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 23/03-01-05-01-02-01-23.wav
happy,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 23/03-01-01-01-01-03-23.wav
neutral,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 23/03-01-05-01-02-03-23.wav
happy,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 23/03-01-01-01-03-02-23.wav
sad,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 23/03-01-02-01-01-02-23.wav
happy,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 23/03-01-01-01-03-03-23.wav
angry,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 23/03-01-03-02-01-02-23.wav
angry,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 23/03-01-03-02-01-01-23.wav
angry,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 23/03-01-03-02-01-03-23.wav
surprise,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 23/03-01-04-02-03-03-23.wav
neutral,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 23/03-01-05-01-01-03-23.wav
sad,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 23/03-01-02-01-03-03-23.wav
angry,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 23/03-01-03-02-03-01-23.wav
happy,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 23/03-01-01-01-01-02-23.wav
surprise,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 23/03-01-04-02-01-01-23.wav
neutral,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 23/03-01-05-01-01-02-23.wav
surprise,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 23/03-01-04-02-01-02-23.wav
surprise,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 23/03-01-04-02-02-01-23.wav
sad,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 23/03-01-02-01-02-03-23.wav
happy,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 23/03-01-01-01-01-01-23.wav
angry,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 23/03-01-03-02-02-02-23.wav
sad,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 23/03-01-02-01-03-01-23.wav
sad,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 23/03-01-02-01-01-01-23.wav
neutral,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 23/03-01-05-01-03-02-23.wav
neutral,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 23/03-01-05-01-03-03-23.wav
sad,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 25/03-01-02-01-03-01-25.wav
happy,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 25/03-01-01-01-01-02-25.wav
sad,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 25/03-01-02-01-01-03-25.wav
sad,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 25/03-01-02-01-02-01-25.wav
happy,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 25/03-01-01-01-03-03-25.wav
sad,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 25/03-01-02-01-02-02-25.wav
sad,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 25/03-01-02-01-02-03-25.wav
sad,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 25/03-01-02-01-01-01-25.wav
happy,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 25/03-01-01-01-02-03-25.wav
happy,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 25/03-01-01-01-03-01-25.wav
sad,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 25/03-01-02-01-03-03-25.wav
happy,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 25/03-01-01-01-02-01-25.wav
happy,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 25/03-01-01-01-01-03-25.wav
happy,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 25/03-01-01-01-03-02-25.wav
happy,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 25/03-01-01-01-02-02-25.wav
happy,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 25/03-01-01-01-01-01-25.wav
sad,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 25/03-01-02-01-03-02-25.wav
angry,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 25/03-01-03-02-01-01-25.wav
sad,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 25/03-01-02-01-01-02-25.wav
neutral,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 25/03-01-05-01-03-02-25.wav
surprise,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 25/03-01-04-02-02-03-25.wav
surprise,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 25/03-01-04-02-01-03-25.wav
surprise,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 25/03-01-04-02-02-01-25.wav
surprise,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 25/03-01-04-02-03-02-25.wav
angry,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 25/03-01-03-02-03-01-25.wav
surprise,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 25/03-01-04-02-03-01-25.wav
neutral,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 25/03-01-05-01-02-03-25.wav
neutral,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 25/03-01-05-01-03-03-25.wav
surprise,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 25/03-01-04-02-02-02-25.wav
angry,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 25/03-01-03-02-02-03-25.wav
angry,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 25/03-01-03-02-03-02-25.wav
angry,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 25/03-01-03-02-01-03-25.wav
angry,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 25/03-01-03-02-01-02-25.wav
neutral,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 25/03-01-05-01-01-02-25.wav
angry,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 25/03-01-03-02-02-01-25.wav
neutral,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 25/03-01-05-01-02-02-25.wav
angry,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 25/03-01-03-02-03-03-25.wav
surprise,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 25/03-01-04-02-01-01-25.wav
neutral,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 25/03-01-05-01-01-01-25.wav
neutral,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 25/03-01-05-01-02-01-25.wav
surprise,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 25/03-01-04-02-03-03-25.wav
neutral,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 25/03-01-05-01-03-01-25.wav
angry,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 25/03-01-03-02-02-02-25.wav
surprise,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 25/03-01-04-02-01-02-25.wav
neutral,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 25/03-01-05-01-01-03-25.wav
happy,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 24/03-01-01-01-03-03-24.wav
happy,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 24/03-01-01-01-02-01-24.wav
sad,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 24/03-01-02-01-01-03-24.wav
happy,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 24/03-01-01-01-01-02-24.wav
angry,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 24/03-01-03-02-03-01-24.wav
angry,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 24/03-01-03-02-01-02-24.wav
sad,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 24/03-01-02-01-03-01-24.wav
surprise,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 24/03-01-04-02-01-03-24.wav
surprise,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 24/03-01-04-02-01-02-24.wav
sad,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 24/03-01-02-01-03-03-24.wav
surprise,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 24/03-01-04-02-02-01-24.wav
sad,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 24/03-01-02-01-03-02-24.wav
sad,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 24/03-01-02-01-02-02-24.wav
surprise,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 24/03-01-04-02-01-01-24.wav
happy,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 24/03-01-01-01-01-01-24.wav
sad,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 24/03-01-02-01-02-01-24.wav
happy,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 24/03-01-01-01-01-03-24.wav
sad,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 24/03-01-02-01-01-01-24.wav
angry,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 24/03-01-03-02-01-01-24.wav
angry,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 24/03-01-03-02-03-03-24.wav
happy,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 24/03-01-01-01-02-02-24.wav
sad,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 24/03-01-02-01-02-03-24.wav
surprise,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 24/03-01-04-02-02-02-24.wav
angry,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 24/03-01-03-02-02-01-24.wav
angry,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 24/03-01-03-02-02-03-24.wav
sad,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 24/03-01-02-01-01-02-24.wav
happy,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 24/03-01-01-01-03-01-24.wav
happy,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 24/03-01-01-01-03-02-24.wav
angry,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 24/03-01-03-02-01-03-24.wav
angry,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 24/03-01-03-02-02-02-24.wav
happy,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 24/03-01-01-01-02-03-24.wav
angry,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 24/03-01-03-02-03-02-24.wav
neutral,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 24/03-01-05-01-03-03-24.wav
neutral,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 24/03-01-05-01-02-01-24.wav
surprise,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 24/03-01-04-02-03-01-24.wav
neutral,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 24/03-01-05-01-03-01-24.wav
neutral,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 24/03-01-05-01-01-03-24.wav
neutral,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 24/03-01-05-01-03-02-24.wav
surprise,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 24/03-01-04-02-03-02-24.wav
surprise,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 24/03-01-04-02-02-03-24.wav
surprise,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 24/03-01-04-02-03-03-24.wav
neutral,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 24/03-01-05-01-02-03-24.wav
neutral,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 24/03-01-05-01-01-01-24.wav
neutral,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 24/03-01-05-01-02-02-24.wav
neutral,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 24/03-01-05-01-01-02-24.wav
angry,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 13/03-01-03-02-02-01-13.wav
sad,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 13/03-01-02-01-03-03-13.wav
happy,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 13/03-01-01-01-01-02-13.wav
surprise,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 13/03-01-04-02-01-01-13.wav
happy,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 13/03-01-01-01-03-02-13.wav
sad,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 13/03-01-02-01-03-02-13.wav
angry,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 13/03-01-03-02-03-03-13.wav
happy,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 13/03-01-01-01-01-03-13.wav
happy,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 13/03-01-01-01-02-01-13.wav
angry,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 13/03-01-03-02-03-01-13.wav
angry,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 13/03-01-03-02-02-03-13.wav
sad,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 13/03-01-02-01-01-03-13.wav
sad,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 13/03-01-02-01-02-02-13.wav
angry,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 13/03-01-03-02-01-03-13.wav
angry,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 13/03-01-03-02-03-02-13.wav
happy,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 13/03-01-01-01-02-02-13.wav
happy,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 13/03-01-01-01-01-01-13.wav
sad,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 13/03-01-02-01-02-03-13.wav
angry,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 13/03-01-03-02-02-02-13.wav
angry,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 13/03-01-03-02-01-01-13.wav
angry,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 13/03-01-03-02-01-02-13.wav
sad,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 13/03-01-02-01-02-01-13.wav
sad,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 13/03-01-02-01-01-01-13.wav
